Id,Function,threads,gpus,P,Q,mtxfmt,nb,m,n,lda,seedA,bump,tsub,time,gflops
0,sgetrf_nopiv,16,0,1,1,0,512,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,3.884336e+02,4.830885e+02
0,sgetrf_nopiv,8,0,1,1,0,1024,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,3.849870e+02,4.874134e+02
0,sgetrf_nopiv,8,0,1,1,0,256,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,4.306500e+02,4.357317e+02
0,sgetrf_nopiv,8,0,1,1,0,4096,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,3.748381e+02,5.006104e+02
0,sgetrf_nopiv,8,0,1,1,0,256,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,4.303616e+02,4.360236e+02
0,sgetrf_nopiv,8,0,1,1,0,1024,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,3.849296e+02,4.874862e+02
0,sgetrf_nopiv,8,0,1,1,0,1024,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,3.849263e+02,4.874903e+02
0,sgetrf_nopiv,8,0,1,1,0,4096,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,3.760211e+02,4.990354e+02
0,sgetrf_nopiv,16,0,1,1,0,256,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,4.192760e+02,4.475521e+02
0,sgetrf_nopiv,16,0,1,1,0,256,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,4.187385e+02,4.481265e+02
0,sgetrf_nopiv,16,0,1,1,0,2048,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,3.654641e+02,5.134508e+02
0,sgetrf_nopiv,16,0,1,1,0,1024,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,3.727675e+02,5.033911e+02
0,sgetrf_nopiv,16,0,1,1,0,256,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,4.194622e+02,4.473534e+02
0,sgetrf_nopiv,16,0,1,1,0,2048,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,3.645884e+02,5.146841e+02
0,sgetrf_nopiv,16,0,1,1,0,1024,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,3.730471e+02,5.030138e+02
0,sgetrf_nopiv,16,0,1,1,0,2048,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,3.659239e+02,5.128056e+02
0,sgetrf_nopiv,8,0,1,1,0,512,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,3.923002e+02,4.783271e+02
0,sgetrf_nopiv,16,0,1,1,0,4096,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,3.923455e+02,4.782719e+02
0,sgetrf_nopiv,8,0,1,1,0,512,65536,65536,65536,846930886,0.000000e+00,0.000000e+00,3.921654e+02,4.784916e+02
