NCPU,NGPU,N,NB,t
8,0,65536,128,591.878842
8,0,65536,128,592.508933
8,0,65536,128,594.785923
8,0,65536,128,594.192652
8,0,65536,128,595.143312
8,0,65536,256,427.291466
8,0,65536,256,426.598998
8,0,65536,256,425.866807
8,0,65536,256,426.388500
8,0,65536,256,426.961017
8,0,65536,512,391.697663
8,0,65536,512,391.898481
8,0,65536,512,391.852246
8,0,65536,512,391.701486
8,0,65536,512,391.829121
8,0,65536,1024,383.941737
8,0,65536,1024,383.905309
8,0,65536,1024,383.787152
8,0,65536,1024,383.679937
8,0,65536,1024,383.871246
8,0,65536,2048,369.491923
8,0,65536,2048,370.014209
8,0,65536,2048,369.749531
8,0,65536,2048,369.714874
8,0,65536,2048,369.688545
8,0,65536,4096,369.645867
8,0,65536,4096,371.932864
8,0,65536,4096,369.271759
8,0,65536,4096,369.886405
8,0,65536,4096,368.841520
