NCPU,NGPU,N,NB,t
32,0,65536,128,820.345855
32,0,65536,128,864.416050
32,0,65536,128,796.249133
32,0,65536,128,743.844507
32,0,65536,128,760.475942
32,0,65536,256,332.105469
32,0,65536,256,330.943849
32,0,65536,256,331.155957
32,0,65536,256,330.549579
32,0,65536,256,332.483875
32,0,65536,512,298.873362
32,0,65536,512,299.056147
32,0,65536,512,298.790713
32,0,65536,512,298.884008
32,0,65536,512,298.598363
32,0,65536,1024,286.655313
32,0,65536,1024,285.770963
32,0,65536,1024,287.524262
32,0,65536,1024,286.031804
32,0,65536,1024,286.384505
32,0,65536,2048,286.164538
32,0,65536,2048,282.794819
32,0,65536,2048,284.375345
32,0,65536,2048,284.955524
32,0,65536,2048,287.194775
32,0,65536,4096,327.322078
32,0,65536,4096,316.415950
32,0,65536,4096,318.340792
32,0,65536,4096,327.572868
32,0,65536,4096,341.755906
