NCPU,NGPU,N,NB,t
24,0,65536,128,865.824001
24,0,65536,128,833.203979
24,0,65536,128,874.439963
24,0,65536,128,844.199957
24,0,65536,128,808.067975
24,0,65536,256,326.518010
24,0,65536,256,326.412006
24,0,65536,256,329.747913
24,0,65536,256,329.435898
24,0,65536,256,326.404867
24,0,65536,512,296.405829
24,0,65536,512,297.284456
24,0,65536,512,296.965683
24,0,65536,512,296.769533
24,0,65536,512,296.624033
24,0,65536,1024,282.327141
24,0,65536,1024,282.700073
24,0,65536,1024,282.974603
24,0,65536,1024,282.839202
24,0,65536,1024,282.894710
24,0,65536,2048,281.648591
24,0,65536,2048,282.220066
24,0,65536,2048,278.197376
24,0,65536,2048,281.129447
24,0,65536,2048,281.272410
24,0,65536,4096,302.079594
24,0,65536,4096,299.860642
24,0,65536,4096,307.419290
24,0,65536,4096,304.421347
24,0,65536,4096,319.447940
